source,target,reached,length,visited
Acetone,Lake_Superior,True,21,"['Acetone', 'World_War_I', 'North_Sea', 'Baltic_Sea', 'Black_Sea', 'Caspian_Sea', 'Lake_Albert', 'Lake_Edward', 'Great_Rift_Valley', 'Lake_Victoria', 'Lake_Tanganyika', 'Lake_Kivu', 'Tsunami', 'Pacific_Ocean', 'Arctic_Ocean', 'Southern_Ocean', 'Atlantic_Ocean', 'Irish_Sea', 'Ice_age', 'Great_Lakes', 'Lake_Superior']"
Acetone,Toy,True,18,"['Acetone', 'Bacteria', 'Human', 'Animal', 'Organism', 'Food', 'Peanut', 'Bird', 'Mammal', 'Dinosaur', 'Turtle', 'Reptile', 'Crocodile', 'Fish', 'Dolphin', 'Autism', 'Computer', 'Toy']"
Achilles,Gold,True,12,"['Achilles', 'Zeus', 'Dog', 'Chocolate', 'Food', 'War', 'Weapon', 'Ship', 'Boat', 'England', 'Currency', 'Gold']"
Achilles,Great_white_shark,True,10,"['Achilles', 'Black_Sea', 'Red_Sea', 'Indian_Ocean', 'Whale', 'Blue_Whale', 'Humpback_Whale', 'Sperm_Whale', 'Shark', 'Great_white_shark']"
Achilles,History_of_Anglo-Saxon_England,True,21,"['Achilles', 'William_Shakespeare', 'British_Empire', 'Henry_VIII_of_England', 'Charles_I_of_England', 'Charles_II_of_England', 'James_I_of_England', 'James_II_of_England', 'Edward_III_of_England', 'Norman_conquest_of_England', 'William_I_of_England', 'William_II_of_England', 'Henry_I_of_England', 'Henry_II_of_England', 'John_of_England', 'Richard_I_of_England', 'Henry_III_of_England', 'Edward_I_of_England', 'Edward_II_of_England', 'British_monarchy', 'History_of_Anglo-Saxon_England']"
Achilles,Winston_Churchill,True,3,"['Achilles', 'World_War_II', 'Winston_Churchill']"
Achilles_tendon,Ivory,True,10,"['Achilles_tendon', 'Achilles', 'Ethiopia', 'Senegal', 'Guinea', 'Africa', 'Cotton', 'Cameroon', 'Central_African_Republic', 'Ivory']"
Achilles_tendon,Ocean,True,6,"['Achilles_tendon', 'Latin', 'Science', 'Nature', 'Earth', 'Ocean']"
Acid_rain,Biodiversity,True,4,"['Acid_rain', 'Invasive_species', 'Evolution', 'Biodiversity']"
Acid_rain,Economics,True,4,"['Acid_rain', 'Pollution', 'Industry', 'Economics']"
Acorn_Computers,New_York_City,True,7,"['Acorn_Computers', 'United_Kingdom', 'City_status_in_the_United_Kingdom', 'York', 'Roman_Britain', 'London', 'New_York_City']"
Actinium,Caspian_Sea,True,10,"['Actinium', 'Radium', 'Japan', 'Pacific_Ocean', 'Arctic_Ocean', 'Indian_Ocean', 'Persian_Gulf', 'Red_Sea', 'Black_Sea', 'Caspian_Sea']"
Actinium,Seoul,True,8,"['Actinium', 'Electron', 'Electricity', 'Ancient_Greece', 'Athens', 'Berlin', 'Tokyo', 'Seoul']"
Action_potential,Color_blindness,True,6,"['Action_potential', 'Animal', 'Sunlight', 'Pigment', 'Color', 'Color_blindness']"
Actor,Egyptian_pyramids,True,9,"['Actor', 'The_Marriage_of_Figaro', 'Wolfgang_Amadeus_Mozart', 'Cello', 'Wood', 'Sculpture', 'Ancient_Greece', 'Ancient_Egypt', 'Egyptian_pyramids']"
Actor,Norse_mythology,True,18,"['Actor', 'Middle_Ages', 'Viking', 'Iceland', 'Greenland', 'Sweden', 'Norway', 'Svalbard', 'Arctic_Tern', 'Finland', 'Folklore', 'Mythology', 'Roman_mythology', 'Greek_mythology', 'James_Joyce', 'Odyssey', 'Zeus', 'Norse_mythology']"
Adam_Smith,Plains_Zebra,False,25,"['Adam_Smith', 'Pound_sterling', 'Saint_Helena', 'Cape_Town', 'African_Penguin', 'Magellanic_Penguin', 'Penguin', 'Emperor_Penguin', 'Southern_Ocean', 'Atlantic_Ocean', 'Black_Sea', 'Red_Sea', 'Great_Rift_Valley', 'Mount_Nyiragongo', 'Carbon_dioxide', 'Ice_age', 'Ice_sheet', 'Plant', 'Sugar_beet', 'Flower', 'Claude_Monet', 'Mediterranean_Sea', 'British_English', 'British_Isles', 'Irish_Sea']"
Adam_Smith,Plant,True,9,"['Adam_Smith', 'Politics', 'Government', 'Police', 'China', 'Drought', 'Agriculture', 'Flower', 'Plant']"
Adelaide,Mammal,True,4,"['Adelaide', 'United_Kingdom', 'Lion', 'Mammal']"
Adolf_Hitler,Alphabet,True,5,"['Adolf_Hitler', 'Swastika', 'Latin', 'Latin_alphabet', 'Alphabet']"
Adolf_Hitler,Germany,True,2,"['Adolf_Hitler', 'Germany']"
Adolf_Hitler,Jesus,True,4,"['Adolf_Hitler', 'Jew', 'Christianity', 'Jesus']"
Adolf_Hitler,Milk,True,20,"['Adolf_Hitler', 'Alcohol', 'Salt', 'Water', 'Ice', 'Energy', 'Food', 'Cereal', 'Fruit', 'Coconut', 'Juice', 'Vegetable', 'Protein', 'Wheat', 'Beer', 'Sugar', 'Chocolate', 'Coffee', 'Tea', 'Milk']"
Adolf_Hitler,Nazi_Germany,True,2,"['Adolf_Hitler', 'Nazi_Germany']"
Adolf_Hitler,Nintendo,True,4,"['Adolf_Hitler', 'India', 'Japan', 'Nintendo']"
Adolf_Hitler,Super_Mario_Bros.,False,25,"['Adolf_Hitler', 'Pablo_Picasso', 'France', 'Pacific_Ocean', 'San_Francisco%2C_California', 'United_States', 'Kingman_Reef', 'New_Zealand', 'King_Kong_%282005_film%29', 'King_Kong_%281933_film%29', 'United_Kingdom', 'Royal_Marines', 'Germany', 'Brothers_Grimm', 'Constitutional_monarchy', 'England', 'King_Arthur', 'Italy', 'Black_Sea', 'Red_Sea', 'Europe', 'Dolphin', 'Bottlenose_Dolphin', 'Tuna', 'Japan']"
Afghan_Hound,Owl,True,5,"['Afghan_Hound', 'Fox', 'Animal', 'Bird', 'Owl']"
Africa,Differential_equation,False,25,"['Africa', 'United_States', 'France', 'United_Kingdom', 'Europe', 'Germany', 'English_language', 'World_War_II', 'India', 'Japan', 'China', 'Christianity', 'Spain', 'Latin', 'Italy', 'Time_zone', 'Russia', 'Canada', 'Currency', '19th_century', 'England', 'London', 'European_Union', 'French_language', 'North_America']"
Africa,England,True,4,"['Africa', 'Portugal', 'Germany', 'England']"
Africa,Hampstead_Heath,True,4,"['Africa', 'United_Kingdom', 'London', 'Hampstead_Heath']"
Africa,Potato,True,4,"['Africa', 'Rice', 'Plant', 'Potato']"
Africa,Sleep,True,15,"['Africa', 'Coffee', 'Tea', 'Sugar', 'Food', 'War', 'Religion', 'Life', 'Energy', 'Heat', 'Water', 'Fire', 'Light', 'Brain', 'Sleep']"
Africa,Sun,True,6,"['Africa', 'Desert', 'Sunflower', 'Color', 'Sunlight', 'Sun']"
African_American_literature,Democratic_Action_Party,False,25,"['African_American_literature', 'Bill_Clinton', 'United_States_Senate', 'United_States_Congress', 'Suffrage', 'Election', 'Democracy', 'Liberal_democracy', 'Soviet_Union', 'Mao_Zedong', 'Politics', 'Political_philosophy', 'Political_economy', 'Voting', 'Government', 'Libertarianism', 'United_Nations', 'Republic_of_China', 'Franklin_D._Roosevelt', 'United_States_House_of_Representatives', 'Parliament_of_the_United_Kingdom', 'Republic_of_Ireland', 'Constitutional_monarchy', 'Autocracy', 'Oligarchy']"
African_Brush-tailed_Porcupine,Mississippi_River,True,4,"['African_Brush-tailed_Porcupine', 'Africa', 'Congo_River', 'Mississippi_River']"
African_Grey_Hornbill,Czech_Republic,True,5,"['African_Grey_Hornbill', 'Africa', 'Central_African_Republic', 'Germany', 'Czech_Republic']"
African_Penguin,Ytterbium,True,16,"['African_Penguin', 'Chordate', 'Eukaryote', 'Plant', 'Weed', 'Greenhouse_effect', 'Carbon_dioxide', 'Germanium', 'Diamond', 'Crystal', 'Glass', 'Erbium', 'Fermium', 'Mendelevium', 'Thulium', 'Ytterbium']"
African_Wild_Dog,Calculus,True,10,"['African_Wild_Dog', 'Africa', 'United_States', 'Interpol', 'France', 'United_Kingdom', 'Gravitation', 'Physics', 'Mathematics', 'Calculus']"
African_dwarf_frog,London_Bridge,True,8,"['African_dwarf_frog', 'Chordate', 'Animal', 'Latin', 'Great_Britain', 'United_Kingdom', 'River_Thames', 'London_Bridge']"
Afrikaans,Invertebrate,True,14,"['Afrikaans', 'United_States', 'The_Gambia', 'France', 'Indian_Ocean', 'Euphrates', 'Mesopotamia', 'Boat', 'England', 'Ptolemy', 'Europe', 'Herbivore', 'Insect', 'Invertebrate']"
Afrikaans,United_Arab_Emirates,True,5,"['Afrikaans', 'United_Kingdom', 'United_Nations', 'Saudi_Arabia', 'United_Arab_Emirates']"
Agamemnon,Genetics,True,5,"['Agamemnon', 'Italy', 'Culture', 'Evolution', 'Genetics']"
Age_of_Enlightenment,Art,True,3,"['Age_of_Enlightenment', 'Aesthetics', 'Art']"
Age_of_Enlightenment,Igneous_rock,True,4,"['Age_of_Enlightenment', 'Chemistry', 'Geology', 'Igneous_rock']"
Age_of_Enlightenment,Kazakhstan,True,4,"['Age_of_Enlightenment', 'Poland', 'Russia', 'Kazakhstan']"
Aggregator,Archaeology,True,5,"['Aggregator', 'Google', 'China', 'Ancient_Egypt', 'Archaeology']"
Aggregator,Velociraptor,True,15,"['Aggregator', 'Mass_media', 'United_States', 'Volcano', 'Mount_Vesuvius', 'Stroke', 'Cerebellum', 'Vertebrate', 'Animal', 'Magellanic_Penguin', 'Penguin', 'Dinosaur', 'Microraptor', 'Theropoda', 'Velociraptor']"
Agnosticism,Pope_Pius_XII,True,5,"['Agnosticism', 'Jew', 'Napoleon_I_of_France', 'Roman_Catholic_Church', 'Pope_Pius_XII']"
Agriculture,Kiev,True,5,"['Agriculture', 'Sweden', 'Lithuania', 'Ukraine', 'Kiev']"
Agriculture,Mao_Zedong,True,4,"['Agriculture', 'History_of_the_world', 'Great_Wall_of_China', 'Mao_Zedong']"
Agriculture,Sparrow,True,8,"['Agriculture', 'Pea', 'Tree', 'Mango', 'Flower', 'Bird', 'House_Sparrow', 'Sparrow']"
Airbus_A380,Extinct_birds,False,25,"['Airbus_A380', 'South_Africa', 'Biodiversity', 'Bird', 'Extinction', 'Invasive_species', 'Black-winged_Stilt', 'Bird_migration', 'Bird_of_prey', 'Falcon', 'Peregrine_Falcon', 'Crow', 'Fossil', 'Dinosaur', 'Cretaceous-Tertiary_extinction_event', 'Cretaceous', 'Mammal', 'Animal', 'Australian_Green_Tree_Frog', 'Fauna_of_Australia', 'House_Sparrow', 'Sparrow', 'Tree_Sparrow', 'Feather', 'Theropoda']"
Aircraft,Euclid,True,11,"['Aircraft', 'United_Kingdom', 'Euro', 'European_Union', 'Ancient_Greece', 'Alcibiades', 'Athens', 'Europe', 'Greece', 'Pythagoras', 'Euclid']"
Aircraft,Google,True,10,"['Aircraft', 'Russia', 'Lithuania', 'Europe', 'Moscow', 'Industry', 'Technology', 'Science', 'World_Wide_Web', 'Google']"
Aircraft,Solar_eclipse,True,6,"['Aircraft', 'Jet_engine', 'Germany', 'Johannes_Kepler', 'Lunar_eclipse', 'Solar_eclipse']"
Aircraft,Western_Roman_Empire,True,5,"['Aircraft', 'World_War_II', 'Rome', 'Roman_Empire', 'Western_Roman_Empire']"
Aircraft,Yugoslavia,True,4,"['Aircraft', 'Russia', 'Serbia', 'Yugoslavia']"
Aircraft_carrier,Crocodile,True,7,"['Aircraft_carrier', 'Philippines', 'Human', 'Elephant', 'Animal', 'Reptile', 'Crocodile']"
