source,target,reached,length,visited
10th_century,11th_century,True,2,"['10th_century', '11th_century']"
11th_century,Taiwan,True,3,"['11th_century', 'China', 'Taiwan']"
12th_century,Guitar,True,25,"['12th_century', 'France', 'River', 'Ocean', 'Fish', 'Chordate', 'Bird', 'Parrot', 'Amazon_parrot', 'Animal', 'Vertebrate', 'Scientific_classification', 'Tree', 'Wood', 'North_America', 'Jamaica', 'Caribbean_Sea', 'Fishing', 'Tuna', 'Japan', 'Metal', 'Steel', 'Copper', 'Musical_instrument', 'Guitar']"
12th_century,Zimbabwe,True,5,"['12th_century', 'Hungary', 'Serbia', 'Mozambique', 'Zimbabwe']"
14th_century,African_slave_trade,True,5,"['14th_century', 'Niger', 'African_Union', 'Economy_of_Africa', 'African_slave_trade']"
14th_century,Elizabeth_I_of_England,True,5,"['14th_century', 'Edward_III_of_England', 'Edward_I_of_England', 'Mary_I_of_England', 'Elizabeth_I_of_England']"
14th_century,Rainbow,True,11,"['14th_century', 'Abacus', 'Latin', 'Bible', 'Isaac', 'Islam', 'Citrus', 'Flower', 'Ultraviolet', 'Color', 'Rainbow']"
15th_century,Sulfuric_acid,True,5,"['15th_century', 'Vasco_da_Gama', 'Moon', 'Sulfur', 'Sulfuric_acid']"
15th_century,Windows_Vista,True,12,"['15th_century', 'Inca_Empire', 'Spanish_language', 'Portuguese_language', 'Cape_Verde', 'Angola', 'Latin', 'English_language', 'United_States', 'Computer', 'Microsoft_Windows', 'Windows_Vista']"
16_Cygni,HIV,True,7,"['16_Cygni', 'Sun', 'Egypt', 'Christianity', 'Sudan', 'Malaria', 'HIV']"
16_Cygni_Bb,Attention-deficit_hyperactivity_disorder,False,25,"['16_Cygni_Bb', 'Earth', 'United_States', 'France', 'United_Kingdom', 'Europe', 'Germany', 'English_language', 'World_War_II', 'India', 'Japan', 'China', 'Africa', 'Latin', 'Italy', 'Spain', 'Russia', 'Time_zone', 'Canada', 'Currency', '19th_century', 'England', 'London', 'Christianity', 'Islam']"
16th_century,Trinity,True,3,"['16th_century', 'Roman_Catholic_Church', 'Trinity']"
1755_Lisbon_earthquake,Quantum_mechanics,True,7,"['1755_Lisbon_earthquake', 'Europe', 'France', 'Franks', 'Germany', 'Max_Planck', 'Quantum_mechanics']"
17th_century,Saturn,True,4,"['17th_century', 'Telescope', 'Astronomy', 'Saturn']"
1896_Summer_Olympics,Planet,True,6,"['1896_Summer_Olympics', 'Australia', 'Kangaroo', 'Continent', 'Earth', 'Planet']"
19th_century,Volcano,True,3,"['19th_century', 'Yellowstone_National_Park', 'Volcano']"
1st_century,Pac-Man,False,25,"['1st_century', 'Lion', 'Elephant', 'Mammoth', 'Animal', 'Spider', 'Jurassic', 'Dinosaur', 'Crocodile', 'Shark', 'Japan', 'Sony', 'Film', 'DVD', 'Euro', 'Guadeloupe', 'Banana', 'Monkey', 'Ape', 'Gorilla', 'Human', 'Bonobo', 'United_States', 'Cold_War', 'Fidel_Castro']"
1st_century,Steam_engine,False,25,"['1st_century', 'China', 'Hot_air_balloon', 'United_Kingdom', 'Jet_engine', 'Germany', 'Russian_language', 'Volga_River', 'Soviet_Union', 'Yuri_Gagarin', 'World_War_II', 'Enigma_machine', 'Nazi_Germany', 'German_language', 'English_language', 'European_Union', 'Ice_hockey', 'National_Hockey_League', 'United_States', 'Auto_racing', 'France', 'Atlantic_Ocean', 'Black_Sea', 'Deluge_%28mythology%29', 'Ice_age']"
1st_century_BC,Buddha,True,6,"['1st_century_BC', 'Augustus', 'Christianity', 'Religion', 'Buddhism', 'Buddha']"
2003_Atlantic_hurricane_season,Vatican_City,True,6,"['2003_Atlantic_hurricane_season', 'Haiti', 'Dominican_Republic', 'New_York_City', 'Rome', 'Vatican_City']"
2004_Atlantic_hurricane_season,Ice_age,True,11,"['2004_Atlantic_hurricane_season', 'Atlantic_Ocean', 'Arctic_Ocean', 'Arctic', 'Arctic_Circle', 'Greenland', 'Ice', 'Glacier', 'Polar_ice_cap', 'Ice_sheet', 'Ice_age']"
2005_Atlantic_hurricane_season,Jazz,True,19,"['2005_Atlantic_hurricane_season', 'Jamaica', 'Judaism', 'Jew', 'France', 'Marseille', 'Industry', 'Business', 'Corporation', 'Amtrak', 'Montreal', 'Basketball', 'Volleyball', 'Tennis', 'Davis_Cup', 'Munich', 'Baroque', 'Music', 'Jazz']"
2005_Atlantic_hurricane_season,William_McKinley,False,25,"['2005_Atlantic_hurricane_season', 'Hurricane_Andrew', 'United_States', 'Thomas_Jefferson', 'Benjamin_Franklin', 'Walt_Disney', 'New_York_City', 'William_Shakespeare', 'Samuel_Taylor_Coleridge', 'University_of_Cambridge', 'William_Wilberforce', 'Atlantic_slave_trade', 'Royal_Navy', 'William_I_of_England', 'William_II_of_England', 'Malcolm_III_of_Scotland', 'Alexander_the_Great', 'Augustus', 'Julius_Caesar', 'Cleopatra_VII', 'Mark_Antony', 'Ancient_Rome', '17th_century', 'William_Harvey', 'Charles_I_of_England']"
2005_Hertfordshire_Oil_Storage_Terminal_fire,Franz_Schubert,True,7,"['2005_Hertfordshire_Oil_Storage_Terminal_fire', 'France', 'Rhine', 'Richard_Wagner', 'Friedrich_Nietzsche', 'Johann_Wolfgang_Goethe', 'Franz_Schubert']"
2005_Sumatra_earthquake,Geometry,True,9,"['2005_Sumatra_earthquake', 'India', 'Plate_tectonics', 'Astronomy', 'Telescope', 'Johannes_Kepler', 'Sphere', 'Mathematics', 'Geometry']"
20th_century,Parrot,True,6,"['20th_century', 'Cuba', 'Fruit', 'Animal', 'Bird', 'Parrot']"
20th_century,Zeus,True,3,"['20th_century', 'Jew', 'Zeus']"
21st_century,Dog,True,9,"['21st_century', 'War', 'Weapon', 'Human', 'Animal', 'Mammal', 'Bird', 'Chicken', 'Dog']"
3_Juno,Wellington,True,6,"['3_Juno', 'Germany', 'London', 'City', 'New_Zealand', 'Wellington']"
47_Ursae_Majoris_b,Kenya,True,5,"['47_Ursae_Majoris_b', 'Water', 'South_Africa', 'Africa', 'Kenya']"
47_Ursae_Majoris_b,Treaty_of_Versailles,True,5,"['47_Ursae_Majoris_b', 'Water', 'France', 'World_War_II', 'Treaty_of_Versailles']"
4th_century,Google,True,12,"['4th_century', 'China', 'Beijing', 'Russia', 'Lithuania', 'Europe', 'Moscow', 'Industry', 'Technology', 'Science', 'World_Wide_Web', 'Google']"
55_Cancri_c,African_Great_Lakes,True,8,"['55_Cancri_c', 'Sun', 'South_America', 'Lake_Titicaca', 'River', 'Congo_River', 'Africa', 'African_Great_Lakes']"
55_Cancri_c,Niger,True,8,"['55_Cancri_c', 'Sun', 'Mexico', 'Country', 'Iceland', 'Yugoslavia', 'Libya', 'Niger']"
5th_century,Ant,False,25,"['5th_century', 'Augustine_of_Hippo', 'Aristotle', 'Moon', 'Apollo_11', 'Apollo_8', 'Santa_Claus', 'Toy', 'Animal', 'Insect', 'Wasp', 'Spider', 'Beetle', 'Stag_beetle', 'Cat', 'Mammal', 'Elephant', 'Herbivore', 'Organism', 'Human', 'Ape', 'Carolus_Linnaeus', 'Evolution', 'Bird', 'Eagle']"
6th_century,Assyria,True,4,"['6th_century', 'Roman_Empire', 'Mesopotamia', 'Assyria']"
6th_century,Emotion,True,9,"['6th_century', 'Language', 'Sound', 'Matter', 'Science', 'Society', 'Culture', 'Art', 'Emotion']"
AIDS,Adolf_Hitler,True,3,"['AIDS', 'Germany', 'Adolf_Hitler']"
AIDS,Africa,True,2,"['AIDS', 'Africa']"
AIDS,Cold_War,True,3,"['AIDS', 'United_States', 'Cold_War']"
AIDS,Flamingo,True,13,"['AIDS', 'Fungus', 'Organism', 'Ant', 'Animal', 'Magellanic_Penguin', 'Penguin', 'Dinosaur', 'Heat', 'Ice', 'Color', 'Bird', 'Flamingo']"
AIDS,Jesus,True,7,"['AIDS', 'Brain', 'Emotion', 'Animal', 'Human', 'God', 'Jesus']"
AIDS,Paprika,False,25,"['AIDS', 'Sweden', 'Estonia', 'Lithuania', 'Baltic_Sea', 'Stockholm', 'Saint_Petersburg', 'Anna_Karenina', 'Indonesia', 'Krakatoa', 'Jakarta', 'Buddhism', 'Tripitaka', 'Gautama_Buddha', 'Vinaya', 'Buddha', 'Pali_Canon', 'Abhidhamma_Pitaka', 'University_of_Bristol', 'Latin', 'United_States', 'Kiribati', 'Caroline_Island', 'Tonga', 'Fiji']"
AIDS,Tour_de_France,True,5,"['AIDS', 'France', 'French_language', 'Paris', 'Tour_de_France']"
AK-47,Renaissance_music,True,12,"['AK-47', 'Spanish_language', 'Music', 'Folk_music', 'Hip_hop_music', 'Musical_instrument', 'Flute', 'Johann_Sebastian_Bach', 'Wolfgang_Amadeus_Mozart', 'Baroque', 'Renaissance', 'Renaissance_music']"
ASCII,Education_in_the_United_States,True,11,"['ASCII', 'Computer', 'Middle_Ages', 'University', 'List_of_universities_in_the_United_Kingdom', 'University_of_Bristol', 'Engineering', 'Political_science', 'Cornell_University', 'United_States', 'Education_in_the_United_States']"
ASCII,Milk,True,23,"['ASCII', 'Computer', 'Toy', 'Television', 'Color', 'Fruit', 'Cereal', 'Rice', 'Water', 'Ice', 'Energy', 'Food', 'Heat', 'Matter', 'Iron', 'Gold', 'Money', 'Barley', 'Sugar', 'Chocolate', 'Coffee', 'Tea', 'Milk']"
ASCII,Parthenon,True,5,"['ASCII', 'Computer', 'Middle_Ages', 'Greece', 'Parthenon']"
ASCII,Ramesses_II,False,25,"['ASCII', 'Computer', 'Charles_Babbage', 'Isambard_Kingdom_Brunel', 'Avon_Gorge', 'Beeching_Axe', 'Margaret_Thatcher', 'Nelson_Mandela', 'Queen_%28band%29', 'Elizabeth_II_of_the_United_Kingdom', 'Royal_Navy', 'Spanish_Armada', 'Napoleonic_Wars', 'Roman_Empire', 'Romulus_Augustus', 'Byzantine_Empire', 'Sassanid_Empire', 'Persian_Empire', 'Aral_Sea', 'Volga_River', 'Battle_of_Stalingrad', 'Adolf_Hitler', 'Erwin_Rommel', 'Richard_O%27Connor', 'Royal_Air_Force']"
ASCII,Swastika,True,18,"['ASCII', 'Computer', 'Abacus', 'Latin', 'Latin_alphabet', 'Indonesia', 'Islam', 'Taj_Mahal', 'Elephant', 'Tanzania', 'Swaziland', 'Bantu', 'Madagascar', 'Croatia', 'Sweden', 'Estonia', 'Nazi_Germany', 'Swastika']"
AT%26T,Chile,True,5,"['AT%26T', 'United_States', 'Nicaragua', 'Bolivia', 'Chile']"
AT%26T,Vegetable,True,5,"['AT%26T', 'Television', 'Color', 'Fruit', 'Vegetable']"
ATLAS_experiment,Trojan_War,True,16,"['ATLAS_experiment', 'Argon', 'Oxygen', 'Sweden', 'Vietnam_War', 'World_War_I', 'Crimean_War', 'Napoleonic_Wars', 'War', 'Trench_warfare', 'Battle_of_Alesia', 'Roman_Empire', 'Ancient_Rome', 'Roman_mythology', 'Greek_mythology', 'Trojan_War']"
A_Christmas_Carol,Carbon,True,5,"['A_Christmas_Carol', 'Language', 'Science', 'Chemistry', 'Carbon']"
A_Christmas_Carol,Sermon_on_the_Mount,True,5,"['A_Christmas_Carol', 'Bob_Marley', 'Bible', 'Christianity', 'Sermon_on_the_Mount']"
A_cappella,Plains_Zebra,False,25,"['A_cappella', 'Rapping', 'Hip_hop_music', 'Cape_Verde', 'Atlantic_Ocean', 'Black_Sea', 'Red_Sea', 'Great_Rift_Valley', 'Mount_Nyiragongo', 'Carbon_dioxide', 'Ice_age', 'Ice_sheet', 'Plant', 'Sugar_beet', 'Flower', 'Claude_Monet', 'Mediterranean_Sea', 'British_English', 'British_Isles', 'Irish_Sea', 'Isle_of_Man', 'Cod', 'Black_Death', 'New_Zealand', 'New_Caledonia']"
Aardvark,Bluetooth,True,9,"['Aardvark', 'Europe', 'France', 'Internet', 'Music', 'Communication', 'Telephone', 'Telecommunication', 'Bluetooth']"
Aardvark,Nintendo_DS,True,16,"['Aardvark', 'Europe', 'Black_Sea', 'Red_Sea', 'Great_Rift_Valley', 'Dead_Sea', 'Space_Shuttle_Columbia', 'Apollo_11', 'Apollo_8', 'Saturn_V', 'Space_station', 'Star_Trek', 'United_States', 'Computer', 'Computer_and_video_games', 'Nintendo_DS']"
Aarhus,Tyrannosaurus,True,5,"['Aarhus', 'Archaeology', 'Paleontology', 'Dinosaur', 'Tyrannosaurus']"
Abbasid,Dead_Sea,True,9,"['Abbasid', 'Spain', 'Mediterranean_Sea', 'Black_Sea', 'Red_Sea', 'Indian_Ocean', 'Ocean', 'Sea', 'Dead_Sea']"
Abbasid,Plant,True,6,"['Abbasid', 'Baghdad', 'Water', 'Agriculture', 'Flower', 'Plant']"
Abbey,Citrus,True,8,"['Abbey', 'Latin', 'Science', 'Chemistry', 'Iron', 'Color', 'Fruit', 'Citrus']"
Abraham_Lincoln,Great_Wall_of_China,True,7,"['Abraham_Lincoln', 'American_Civil_War', 'United_States', 'Republic_of_China', 'Flag_of_the_Republic_of_China', 'China', 'Great_Wall_of_China']"
Absinthe,Blue_shark,True,20,"['Absinthe', 'Lemon_balm', 'Bee', 'Honey_bee', 'Animal', 'Magellanic_Penguin', 'African_Penguin', 'Pacific_Ocean', 'Atlantic_Ocean', 'Black_Sea', 'Red_Sea', 'Indian_Ocean', 'Southern_Ocean', 'Arctic_Ocean', 'Ocean', 'Dolphin', 'Bottlenose_Dolphin', 'Bull_shark', 'Tiger_shark', 'Blue_shark']"
Absolute_zero,Honey_bee,False,25,"['Absolute_zero', 'Galileo_Galilei', 'Milky_Way', 'Greek_mythology', 'Black_Sea', 'Red_Sea', 'Hebrew_language', 'English_language', 'British_English', 'United_Kingdom', 'Royal_Marines', 'George_Washington', 'United_States', 'Kingman_Reef', 'Pacific_Ocean', 'Southern_Ocean', 'Atlantic_Ocean', 'Mediterranean_Sea', 'Spanish_language', 'Easter_Island', 'James_Cook', 'Cape_Horn', 'Francis_Drake', 'Walter_Raleigh', 'Bette_Davis']"
Absolute_zero,London_Bridge,True,6,"['Absolute_zero', 'Earth', 'Apollo_8', 'New_York_City', 'London', 'London_Bridge']"
Abu_Dhabi,Pythagoras,True,8,"['Abu_Dhabi', 'United_Kingdom', 'Trafalgar_Square', 'Germany', 'Albert_Einstein', 'Euclidean_geometry', 'Pythagorean_theorem', 'Pythagoras']"
Abuja,Bill_Clinton,True,5,"['Abuja', 'Nigeria', 'United_States', 'George_W._Bush', 'Bill_Clinton']"
Abuja,Internet_Explorer,True,11,"['Abuja', 'Time_zone', 'United_States', 'Internet', 'World_Wide_Web', 'History_of_the_Internet', 'Computer', 'Microsoft_Windows', 'Windows_XP', 'Windows_Vista', 'Internet_Explorer']"
Abuja,Lunar_eclipse,True,11,"['Abuja', 'Time_zone', 'Baltic_Sea', 'Amber', 'Ancient_Greece', 'Minoan_civilization', 'Odyssey', 'Trojan_War', 'Apollo', 'Full_moon', 'Lunar_eclipse']"
Acceleration,Hydrogen,True,3,"['Acceleration', 'Earth', 'Hydrogen']"
Acceleration,Mozilla_Firefox,True,11,"['Acceleration', 'Earth', 'United_States', 'France', 'United_Kingdom', 'Europe', 'Fox', 'Australia', 'English_language', 'HTTP_cookie', 'Mozilla_Firefox']"
Acceleration,Potassium_iodide,True,6,"['Acceleration', 'Earth', 'Nitrogen', 'Potassium_nitrate', 'Potassium', 'Potassium_iodide']"
Acceleration,Surtsey,False,25,"['Acceleration', 'Sea', 'Hudson_Bay', 'Atlantic_Ocean', 'Conakry', 'France', 'Franks', 'Ireland', 'Wales', 'Aberystwyth', 'Cardiff', 'Devonian', 'Ocean', 'Saint_Lawrence_Seaway', 'Niagara_Falls', 'Canada', 'Ottawa', 'Scotland', 'Shetland', 'Coronation_Street', 'Manchester', 'Sheffield', 'Liverpool', 'Leeds', 'Leicester']"
Acceleration,Trout,True,9,"['Acceleration', 'Sea', 'Great_Lakes', 'Lake_Superior', 'Minnesota', 'Brown_trout', 'Fish', 'Fishing', 'Trout']"
Accountancy,Feather,True,5,"['Accountancy', 'Human', 'Dove', 'Bird', 'Feather']"
Acetic_acid,Rail_transport,True,15,"['Acetic_acid', 'United_States', 'Amtrak', 'Railway_post_office', 'United_Kingdom', 'France', 'Germany', 'Europe', 'World_War_II', 'Aircraft_carrier', 'India', 'Westminster_System', 'Canada', 'Canadian_Pacific_Railway', 'Rail_transport']"
Acetone,Amsterdam,True,4,"['Acetone', 'Israel', 'Netherlands', 'Amsterdam']"
