,Source,Target,Path_1,Explored_1,Path_2,Explored_2
0,%E2%82%AC2_commemorative_coins,Irish_Sea,"['%E2%82%AC2_commemorative_coins', 'Atlantic_Ocean', 'Irish_Sea']","{'%E2%82%AC2_commemorative_coins': None, 'Atlantic_Ocean': '%E2%82%AC2_commemorative_coins', 'Irish_Sea': 'Atlantic_Ocean'}","['%E2%82%AC2_commemorative_coins', 'Atlantic_Ocean', 'Irish_Sea']","{'%E2%82%AC2_commemorative_coins': None, 'Atlantic_Ocean': '%E2%82%AC2_commemorative_coins', 'Irish_Sea': 'Atlantic_Ocean'}"
1,10th_century,11th_century,"['10th_century', '11th_century']","{'10th_century': None, '11th_century': '10th_century'}","['10th_century', '11th_century']","{'10th_century': None, '11th_century': '10th_century'}"
2,10th_century,Banknote,"['10th_century', 'Scotland', 'Banknote']","{'10th_century': None, 'Sweden': '10th_century', 'Dublin': '10th_century', 'Mexico': '10th_century', 'Solar_System': '10th_century', 'Germany': '10th_century', 'Philippines': '10th_century', 'Myanmar': '10th_century', 'France': '10th_century', 'India': '10th_century', 'Italy': '10th_century', 'Scotland': '10th_century', 'Banknote': 'Scotland'}","['10th_century', 'Sweden', 'Currency', 'Banknote']","{'10th_century': None, 'Sweden': '10th_century', 'Currency': 'Sweden', 'Banknote': 'Currency'}"
3,10th_century,Country,"['10th_century', 'Mexico', 'Country']","{'10th_century': None, 'Sweden': '10th_century', 'Mexico': '10th_century', 'Country': 'Mexico'}","['10th_century', 'Sweden', 'Denmark', 'Currency', 'Country']","{'10th_century': None, 'Sweden': '10th_century', 'Denmark': 'Sweden', 'Currency': 'Denmark', 'Country': 'Currency'}"
