source,target,reached,length,visited\
Calculus,Paul_McCartney,TRUE,20,"['Calculus', 'Mathematics', 'Philosophy', 'Japan', 'Russia', 'Time_zone', 'Spain', 'List_of_countries_by_system_of_government', 'Portugal', 'France', 'North_America', 'Netherlands', 'United_States', 'Agriculture', 'South_America', 'Asia', 'Judaism', 'United_Kingdom', 'The_Beatles', 'Paul_McCartney']\"
Aircraft,Google,FALSE,20,"['Aircraft', 'United_Kingdom', 'Europe', 'France', 'Internet', 'Library', 'United_States', 'Germany', 'English_language', 'India', 'Japan', 'Russia', 'Canada', 'Latin', 'Italy', 'Spain', 'Africa', 'China', 'World_War_II']\"
Electricity,God,TRUE,13,"['Electricity', 'Natural_gas', 'India', 'List_of_countries_by_system_of_government', 'United_States', 'World_War_II', 'Europe', 'French_language', 'German_language', 'Spanish_language', 'Arabic_language', 'Allah', 'God']\"
Brazil,Hydrogen,FALSE,20,"['Brazil', 'Time_zone', 'Ireland', 'Africa', 'French_language', 'North_America', 'Spanish_language', 'South_America', '20th_century', '19th_century', 'South_Africa', 'List_of_countries_by_system_of_government', 'New_Zealand', 'United_States', 'Mexico', 'Argentina', 'Roman_Catholic_Church', 'Roman_Empire', 'Ottoman_Empire']\"
Art,Mango,TRUE,6,"['Art', 'Sultan', 'Islam', 'Citrus', 'Fruit', 'Mango']\"
Africa,England,TRUE,4,"['Africa', 'Portugal', 'Germany', 'England']\"
Archbishop_of_Canterbury,Vietnam,TRUE,5,"['Archbishop_of_Canterbury', 'England', 'France', 'China', 'Vietnam']\"
Computer,Fruit,TRUE,8,"['Computer', 'Television', 'France', 'Time_zone', 'United_States', 'Potato', 'Plant', 'Fruit']\"
Computer,Russia,TRUE,4,"['Computer', 'Great_Britain', 'Ukraine', 'Russia']\"
Cat,Adolf_Hitler,TRUE,5,"['Cat', 'Cyprus', 'World_War_I', 'Nazism', 'Adolf_Hitler']\"
14th_century,Rainbow,TRUE,17,"['14th_century', 'Europe', 'French_language', 'United_States', 'Time_zone', 'South_Africa', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'Football_%28soccer%29', 'Japan', 'Capital', 'France', 'German_language', 'United_Kingdom', 'Natural_gas', 'Color', 'Rainbow']\"
Jesus,God,TRUE,2,"['Jesus', 'God']\"
Manchester,Water,TRUE,3,"['Manchester', 'Beer', 'Water']\"
China,Moon,TRUE,3,"['China', 'United_States', 'Moon']\"
Batman,Penguin,TRUE,6,"['Batman', 'Scotland', 'List_of_countries_by_system_of_government', 'United_States', 'Antarctica', 'Penguin']\"
Jesus,Adolf_Hitler,TRUE,3,"['Jesus', 'The_Holocaust', 'Adolf_Hitler']\"
Antlion,Hip_hop_music,TRUE,5,"['Antlion', 'Scientific_classification', 'Latin', 'United_States', 'Hip_hop_music']\"
Batman,Japan,TRUE,4,"['Batman', 'Scotland', 'China', 'Japan']\"
Batman,Vitamin_D,FALSE,20,"['Batman', 'Scotland', 'Germany', 'England', 'Italy', 'India', 'Africa', 'Islam', 'United_States', 'List_of_countries_by_system_of_government', 'Australia', 'Ireland', 'London', 'United_Kingdom', 'Electron', 'Chemical_element', 'English_language', 'Netherlands', 'Turkey']\"
Brothers_Grimm,Windows_Vista,FALSE,20,"['Brothers_Grimm', 'Germany', 'France', 'Japan', 'Currency', 'Euro', 'United_States', 'Canada', 'United_Kingdom', 'Scotland', 'Ireland', 'Judaism', 'Jew', 'Australia', 'English_language', 'Israel', 'Sweden', 'Denmark', 'Norway']\"
Batman,Albert_Einstein,TRUE,14,"['Batman', 'Scotland', 'United_States', 'Neil_Armstrong', 'Soviet_Union', 'Vladimir_Lenin', 'Europe', 'Arabic_language', 'English_language', 'United_Kingdom', 'Charles_Darwin', 'Isaac_Newton', 'Galileo_Galilei', 'Albert_Einstein']\"
Achilles_tendon,Ivory,FALSE,20,"['Achilles_tendon', 'Latin', 'Roman_Catholic_Church', 'Africa', 'Senegal', 'Time_zone', 'France', 'List_of_countries_by_system_of_government', 'United_States', 'Europe', 'Buddhism', 'Philosophy', 'World_War_II', 'United_Kingdom', 'Electron', 'Gravitation', 'England', 'Germany', 'English_language']\"
Computer_programming,Fresh_water,FALSE,20,"['Computer_programming', 'Linguistics', 'Arabic_language', 'English_language', 'United_States', 'List_of_countries_by_system_of_government', 'United_Kingdom', 'Electron', 'Chemical_element', 'Latin', 'Europe', 'France', 'Atlantic_Ocean', 'Germany', 'United_Nations', 'Russia', 'Canada', 'French_language', 'Spain']\"
Calculus,Lemon,TRUE,19,"['Calculus', 'Latin', 'United_States', 'World_War_II', 'Norway', 'Time_zone', 'Sweden', 'List_of_countries_by_system_of_government', 'Scotland', 'North_America', 'South_America', 'France', 'Switzerland', 'English_language', 'Wales', 'Silver', 'Argentina', 'Citrus', 'Lemon']\"
California,Adolf_Hitler,TRUE,7,"['California', 'United_States', 'Abraham_Lincoln', 'United_Kingdom', 'World_War_I', 'Nazism', 'Adolf_Hitler']\"
Apple,Banana,TRUE,3,"['Apple', 'Fruit', 'Banana']\"
Cat,Dog,TRUE,2,"['Cat', 'Dog']\"
Automobile,Windows_XP,FALSE,20,"['Automobile', 'Japan', 'Currency', 'Madagascar', 'Africa', 'United_States', 'Agriculture', 'Egypt', 'United_Kingdom', 'Scotland', 'Ireland', 'English_language', 'Israel', 'Jew', 'Middle_East', 'Judaism', 'Argentina', 'Mexico', 'Hinduism']\"
Apple,Fruit,TRUE,2,"['Apple', 'Fruit']\"
Moon,Mars,TRUE,2,"['Moon', 'Mars']\"
Linux,Adolf_Hitler,TRUE,9,"['Linux', 'X_Window_System', 'Internet', 'United_States', 'Abraham_Lincoln', 'United_Kingdom', 'World_War_I', 'Nazism', 'Adolf_Hitler']\"
China,Afghanistan,TRUE,5,"['China', 'Vietnam', 'Cuba', 'Yemen', 'Afghanistan']\"
God,Adolf_Hitler,TRUE,7,"['God', 'United_States', 'Abraham_Lincoln', 'United_Kingdom', 'World_War_I', 'Nazism', 'Adolf_Hitler']\"
Bird_migration,Hubble_Space_Telescope,TRUE,8,"['Bird_migration', 'Africa', 'Latin', 'Spanish_language', 'Spain', 'Islam', 'Astronomy', 'Hubble_Space_Telescope']\"
Jew,Telephone,TRUE,12,"['Jew', 'United_States', 'Internet', 'Europe', 'United_Kingdom', 'France', 'Germany', 'English_language', 'India', 'Currency', '19th_century', 'Telephone']\"
Video,China,TRUE,4,"['Video', 'Australia', 'Asia', 'China']\"
Famine,Arctic,TRUE,5,"['Famine', 'Climate', 'Ocean', 'Arctic_Ocean', 'Arctic']\"
Bamako,Sun,TRUE,12,"['Bamako', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Portuguese_language', 'India', 'Europe', 'Germany', 'Great_Britain', 'United_Kingdom', 'Earth', 'Sun']\"
George_W._Bush,Monkey,FALSE,20,"['George_W._Bush', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Japan', 'English_language', 'Germany', 'United_Kingdom', 'Arctic_Monkeys', 'England', 'Lion', 'Elephant', 'Animal', 'Latin', 'Europe', 'Africa', 'China', 'Christianity', 'Islam']\"
Pikachu,Sun,TRUE,13,"['Pikachu', 'North_America', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Portuguese_language', 'India', 'Europe', 'Germany', 'Great_Britain', 'United_Kingdom', 'Earth', 'Sun']\"
Human,Pluto,TRUE,8,"['Human', 'Arabic_language', 'Spanish_language', 'United_States', 'Moon', 'Mars', 'Planet', 'Pluto']\"
AIDS,Jesus,TRUE,6,"['AIDS', 'United_States', 'World_War_II', 'Europe', 'Christianity', 'Jesus']\"
Smog,Toy_Story,FALSE,20,"['Smog', 'London', 'Europe', 'Latin', 'Italy', 'Spain', 'List_of_countries_by_system_of_government', 'Egypt', 'Islam', 'United_States', 'Judaism', 'United_Kingdom', 'Scotland', 'Ireland', 'Roman_Catholic_Church', 'Rome', 'Capital', 'Ottoman_Empire', 'Arabic_language']\"
15th_century,Windows_Vista,FALSE,20,"['15th_century', 'France', 'Japan', 'Currency', 'Euro', 'United_States', 'Canada', 'United_Kingdom', 'Scotland', 'Ireland', 'Judaism', 'Jew', 'Australia', 'English_language', 'Israel', 'Sweden', 'Denmark', 'Norway', 'World_War_II']\"
Earth,Odysseus,FALSE,20,"['Earth', 'United_States', 'Time_zone', 'France', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'English_language', 'Latin', 'Europe', 'London', 'United_Kingdom', 'Germany', 'Asia', 'Lebanon', 'Arabic_language', 'Hebrew_language', 'Islam', 'Spain', 'Climate']\"
United_States,English_language,TRUE,3,"['United_States', 'Spanish_language', 'English_language']\"
Chemistry,Fidel_Castro,TRUE,5,"['Chemistry', 'World_War_II', 'United_States', 'Cuba', 'Fidel_Castro']\"
Pikachu,Jesus,TRUE,7,"['Pikachu', 'North_America', 'United_States', 'World_War_II', 'Europe', 'Christianity', 'Jesus']\"
Bird,Thomas_Jefferson,TRUE,9,"['Bird', 'Scientific_classification', 'Latin', 'William_I_of_England', 'France', 'Germany', 'Japan', 'President_of_the_United_States', 'Thomas_Jefferson']\"
Adolf_Hitler,Jesus,TRUE,7,"['Adolf_Hitler', 'World_War_II', 'United_States', 'Time_zone', 'France', 'God', 'Jesus']\"
Batman,Peanut,FALSE,20,"['Batman', 'Scotland', 'List_of_countries_by_system_of_government', 'Spain', 'United_States', 'Portugal', 'Germany', 'United_Kingdom', 'Ireland', 'Roman_Catholic_Church', '16th_century', 'France', 'Republic_of_Ireland', 'English_language', 'India', 'Japan', 'Constitutional_monarchy', 'Australia', 'World_War_II']\"
Dinosaur,China,TRUE,2,"['Dinosaur', 'China']\"
Mario,Nintendo,TRUE,2,"['Mario', 'Nintendo']\"
John_Dee,China,TRUE,5,"['John_Dee', 'England', 'Germany', 'Asia', 'China']\"
Reptile,Jesus,TRUE,9,"['Reptile', 'Scientific_classification', 'Binomial_nomenclature', 'Latin', 'United_States', 'World_War_II', 'Europe', 'Christianity', 'Jesus']\"
Computer,Whale,TRUE,10,"['Computer', 'Television', 'France', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'United_Kingdom', 'Europe', 'Dolphin', 'Whale']\"
Cat,University,TRUE,6,"['Cat', 'Animal', 'Latin', 'United_States', 'Education', 'University']\"
The_Godfather,Neptune,TRUE,16,"['The_Godfather', 'United_States', 'France', 'German_language', 'Spanish_language', 'Arabic_language', 'Portuguese_language', 'Japan', 'United_Kingdom', 'Europe', 'Germany', 'Canada', 'Russia', 'Earth', 'Planet', 'Neptune']\"
Nintendo,Snow,TRUE,9,"['Nintendo', 'United_States', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'Russia', 'Arctic', 'Canada', 'Skiing', 'Snow']\"
England,Train,TRUE,7,"['England', 'Europe', 'Arabic_language', 'English_language', 'United_States', 'Amtrak', 'Train']\"
Africa,Differential_equation,FALSE,20,"['Africa', 'Europe', 'Germany', 'England', 'Latin', 'Italy', 'India', 'Japan', 'China', 'Christianity', 'Spain', 'Russia', 'Canada', 'List_of_countries_by_system_of_government', 'Australia', 'United_Nations', 'London', 'Paris', 'Egypt']\"
Citrus,Physics,TRUE,16,"['Citrus', 'United_States', 'Time_zone', 'France', 'List_of_countries_by_system_of_government', 'Germany', 'Roman_Empire', 'Byzantine_Empire', 'Europe', 'Arabic_language', 'Portuguese_language', 'Chinese_language', 'English_language', 'United_Kingdom', 'Gravitation', 'Physics']\"
Volcano,Alphabet,TRUE,5,"['Volcano', 'United_States', 'Latin', 'Latin_alphabet', 'Alphabet']\"
North_America,Canada,TRUE,2,"['North_America', 'Canada']\"
Dinosaur,George_W._Bush,TRUE,3,"['Dinosaur', 'United_States', 'George_W._Bush']\"
Computer,Baseball,TRUE,5,"['Computer', 'Television', 'France', 'United_States', 'Baseball']\"
Electricity,Anne_Frank,FALSE,20,"['Electricity', 'Electric_field', 'Capacitance', 'Inductance', 'Maxwell%27s_equations', 'Albert_Einstein', 'United_States', 'Time_zone', 'United_Kingdom', 'Anne_of_Great_Britain', 'Scotland', 'World_War_II', 'France', 'Franks', 'Arabic_language', 'English_language', 'Germany', 'Otto_von_Bismarck', 'Europe']\"
Bangladesh,Harry_S._Truman,TRUE,9,"['Bangladesh', 'Time_zone', 'Canada', 'Currency', 'Gold', 'Australia', 'United_States', 'John_F._Kennedy', 'Harry_S._Truman']\"
Linguistics,Rome,TRUE,4,"['Linguistics', 'Middle_East', 'Civilization', 'Rome']\"
Fourteenth_Amendment_to_the_United_States_Constitution,Reptile,FALSE,20,"['Fourteenth_Amendment_to_the_United_States_Constitution', 'France', 'Germany', 'Europe', 'World_War_II', 'Paris', '19th_century', 'United_States', 'Time_zone', 'New_York_City', 'Hungary', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'Capital', 'European_Union', 'German_language', 'Belgium', 'United_Kingdom', 'NATO']\"
Beer,Warsaw,TRUE,6,"['Beer', 'Finland', 'Moscow', 'Russia', 'Poland', 'Warsaw']\"
Achilles,Winston_Churchill,TRUE,3,"['Achilles', 'World_War_II', 'Winston_Churchill']\"
AT%26T,Vegetable,TRUE,6,"['AT%26T', 'United_States', 'Potato', 'Plant', 'Fruit', 'Vegetable']\"
Aircraft,Yugoslavia,TRUE,4,"['Aircraft', 'Russia', 'Serbia', 'Yugoslavia']\"
Arnold_Schwarzenegger,Vegetable,TRUE,6,"['Arnold_Schwarzenegger', 'United_States', 'Potato', 'Plant', 'Fruit', 'Vegetable']\"
Colombia,Meat,TRUE,9,"['Colombia', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Germany', 'Europe', 'Carnivore', 'Meat']\"
Dog,Sea,TRUE,4,"['Dog', 'Germany', 'Mediterranean_Sea', 'Sea']\"
History,Nazi_Germany,TRUE,5,"['History', 'English_language', 'Germany', 'Adolf_Hitler', 'Nazi_Germany']\"
England,Japan,TRUE,3,"['England', 'Germany', 'Japan']\"
Harry_Potter,Kangaroo,TRUE,6,"['Harry_Potter', 'United_States', 'Guinea', 'France', 'Australia', 'Kangaroo']\"
Batman,Jesus,TRUE,8,"['Batman', 'Scotland', 'World_War_II', 'United_States', 'Time_zone', 'France', 'God', 'Jesus']\"
Jesus,Google,FALSE,20,"['Jesus', 'Europe', 'France', 'Internet', 'Library', 'United_States', 'United_Kingdom', 'English_language', 'Germany', 'Russia', 'Japan', 'China', 'Africa', 'India', 'Asia', 'World_War_II', 'Canada', 'Latin', 'Italy']\"
Metal,Prague,TRUE,6,"['Metal', 'Currency', '19th_century', 'Romania', 'Czech_Republic', 'Prague']\"
Google,God,TRUE,10,"['Google', 'United_States', 'World_War_II', 'Europe', 'French_language', 'German_language', 'Spanish_language', 'Arabic_language', 'Allah', 'God']\"
Continent,Gorilla,TRUE,9,"['Continent', 'United_States', 'Time_zone', 'Ireland', 'Mammal', 'Elephant', 'Animal', 'Human', 'Gorilla']\"
Batman,Bill_Clinton,TRUE,5,"['Batman', 'Scotland', 'United_States', 'George_W._Bush', 'Bill_Clinton']\"
Aircraft,Solar_eclipse,FALSE,20,"['Aircraft', 'World_War_II', 'Canada', 'List_of_countries_by_system_of_government', 'England', 'London', 'Capital', 'United_States', 'Mexico', 'English_language', 'Scotland', 'Ireland', 'Mammal', 'Vertebrate', 'Fish', 'Fishing', 'New_Zealand', 'Switzerland', 'Europe']\"
Meteorological_history_of_Hurricane_Katrina,Iraq_War,TRUE,9,"['Meteorological_history_of_Hurricane_Katrina', 'United_States', 'Vietnam_War', 'World_War_I', 'War', 'World_War_II', 'Iraq', 'Baghdad', 'Iraq_War']\"
David_Beckham,Great_white_shark,FALSE,20,"['David_Beckham', 'England', 'Christianity', 'Islam', 'India', 'List_of_countries_by_system_of_government', 'United_States', 'Great_Lakes', 'Scotland', 'Agriculture', 'Mesopotamia', 'Iran', 'Judaism', 'United_Kingdom', 'Ireland', 'World_War_II', 'Netherlands', 'Switzerland', 'Paris']\"
Brazil,Vitamin,TRUE,12,"['Brazil', 'United_Kingdom', 'Germany', 'Time_zone', 'Egypt', 'List_of_countries_by_system_of_government', 'Australia', 'United_Nations', 'Netherlands', '19th_century', '20th_century', 'Vitamin']\"
Citrus,Desert,TRUE,3,"['Citrus', 'United_States', 'Desert']\"
Scent_of_a_Woman,Firearm,FALSE,20,"['Scent_of_a_Woman', 'United_States', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'English_language', 'United_Kingdom', 'France', 'Arabic_language', 'Hebrew_language', 'Canada', 'Russia', 'Europe', 'World_War_II', 'India', 'Indian_Ocean', 'Chinese_language', 'China', 'Gunpowder', 'Steel']\"
Flower,George_H._W._Bush,TRUE,5,"['Flower', 'United_Kingdom', 'Tony_Blair', 'George_W._Bush', 'George_H._W._Bush']\"
Mormon,Ice,TRUE,7,"['Mormon', 'Christianity', 'Roman_Catholic_Church', 'Latin', 'United_States', 'Ice_hockey', 'Ice']\"
Weed,Jesus,TRUE,8,"['Weed', 'Greenhouse_effect', 'Earth%27s_atmosphere', 'United_States', 'World_War_II', 'Europe', 'Christianity', 'Jesus']\"
Mario,God,TRUE,10,"['Mario', 'United_States', 'World_War_II', 'Europe', 'French_language', 'German_language', 'Spanish_language', 'Arabic_language', 'Allah', 'God']\"
Ocean,Love,FALSE,20,"['Ocean', 'Animal', 'Scientific_classification', 'Carolus_Linnaeus', 'Binomial_nomenclature', 'Latin', 'United_States', 'World_War_II', 'Europe', 'Arabic_language', 'English_language', 'United_Kingdom', 'Time_zone', 'France', 'List_of_countries_by_system_of_government', 'Constitutional_monarchy', 'Japan', 'Christianity', 'Ottoman_Empire']\"
Batman,Coconut_crab,FALSE,20,"['Batman', 'Scotland', 'United_States', 'Kingman_Reef', 'Pacific_Ocean', 'United_Kingdom', 'London', 'France', 'Latin', 'English_language', 'World_War_II', 'India', 'Japan', 'North_America', 'Caribbean_Sea', 'Atlantic_Ocean', 'Black_Sea', 'Aral_Sea', 'Soviet_Union']\"
Batman,Superman,TRUE,2,"['Batman', 'Superman']\"
Chocolate,Velociraptor,FALSE,20,"['Chocolate', 'Europe', 'London', 'People%27s_Republic_of_China', 'China', 'United_States', 'List_of_countries_by_system_of_government', 'Egypt', 'Asia', 'Capital', 'Ottoman_Empire', 'Arabic_language', 'Latin', 'Italy', 'France', 'Germany', 'Chinese_language', 'Philippines', 'Cuba']\"
Agriculture,Sparrow,FALSE,20,"['Agriculture', 'France', 'World_War_II', 'Japan', 'List_of_countries_by_system_of_government', 'United_States', 'Soviet_Union', 'Judaism', 'Europe', 'Arabic_language', 'Latin', 'English_language', 'German_language', 'Austria', 'Holy_Roman_Empire', 'Napoleon_I_of_France', 'United_Kingdom', 'United_States_dollar', 'Currency']\"
Seed,New_York_City,TRUE,5,"['Seed', 'Protein', 'World_War_II', 'United_States', 'New_York_City']\"
Solar_System,Babe_Ruth,TRUE,11,"['Solar_System', 'Gravitation', 'India', 'Europe', 'Italy', 'Spain', 'Australia', 'List_of_countries_by_system_of_government', 'United_States', 'Baseball', 'Babe_Ruth']\"
Acceleration,Mozilla_Firefox,FALSE,20,"['Acceleration', 'Earth', 'Europe', 'India', 'Currency', 'Gold', 'Russia', 'Canada', 'Christianity', 'Roman_Empire', 'Africa', 'China', 'United_Nations', 'London', 'European_Union', 'Portugal', 'List_of_countries_by_system_of_government', 'Australia', 'Asia']\"
Dog,Elementary_algebra,FALSE,20,"['Dog', 'Africa', 'China', 'Japan', 'United_Nations', 'Canada', 'English_language', 'England', 'Netherlands', 'Scotland', 'United_States', 'Sweden', 'South_America', 'Brazil', 'Climate', 'Tropical_cyclone', 'New_Zealand', 'Switzerland', 'Norway']\"
Forth,Anne_Frank,FALSE,20,"['Forth', 'Microsoft_Windows', 'Microsoft', 'United_States', 'Time_zone', 'United_Kingdom', 'Anne_of_Great_Britain', 'Scotland', 'World_War_II', 'France', 'Franks', 'Arabic_language', 'English_language', 'Germany', 'Otto_von_Bismarck', 'Europe', 'Latin', 'Italy', '20th_century']\"
Australian_Open,George_W._Bush,TRUE,5,"['Australian_Open', 'Sydney', 'Time_zone', 'United_States', 'George_W._Bush']\"
Colombia,6th_century,TRUE,5,"['Colombia', 'United_States', 'Europe', '18th_century', '6th_century']\"
Gregorian_chant,Inductance,FALSE,20,"['Gregorian_chant', 'Roman_Empire', 'United_States', 'France', 'United_Kingdom', 'Europe', 'World_War_II', 'China', 'Africa', 'Latin', 'Italy', 'Time_zone', 'Russia', 'Canada', 'List_of_countries_by_system_of_government', 'Australia', 'United_Nations', 'London', 'Paris']\"
Germany,Adolf_Hitler,TRUE,2,"['Germany', 'Adolf_Hitler']\"
Booby,Ununhexium,FALSE,20,"['Booby', 'Europe', 'England', 'Time_zone', 'Canada', 'List_of_countries_by_system_of_government', 'Scotland', 'London', 'France', 'United_States', 'Latin', 'Great_Britain', 'Ireland', '19th_century', 'Germany', 'Finland', 'Climate', 'Climate_change', 'Earth%27s_atmosphere']\"
Mathematics,Juice,FALSE,20,"['Mathematics', 'English_language', 'World_War_II', 'United_States', 'Time_zone', 'France', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'Afghanistan', 'United_Kingdom', 'Europe', 'Arabic_language', 'Alcohol', 'Oxygen', 'Water', 'Earth%27s_atmosphere', 'Iron', 'Phase_%28matter%29', 'Plasma_%28physics%29']\"
American_Civil_War,Kuwait_City,TRUE,13,"['American_Civil_War', 'United_States', 'United_Kingdom', 'France', 'Belgium', 'Luxembourg', 'Luxembourg_%28city%29', 'Spain', 'Thailand', 'Arable_land', 'England', 'Middle_East', 'Kuwait_City']\"
Weasel,Barium,FALSE,20,"['Weasel', 'Europe', 'United_Nations', 'People%27s_Republic_of_China', 'List_of_countries_by_system_of_government', 'United_States', 'Latin', 'English_language', 'Ireland', 'United_Kingdom', 'France', 'Germany', 'Japan', 'Russia', 'Iceland', 'Currency', '19th_century', 'Italy', 'India']\"
Anaconda,Agnosticism,TRUE,5,"['Anaconda', 'South_America', 'Christianity', 'Atheism', 'Agnosticism']\"
Pluto,Wall_Street,TRUE,6,"['Pluto', 'England', 'London_Underground', 'World_War_II', 'United_States', 'Wall_Street']\"
Tennis,Nuclear_weapon,TRUE,3,"['Tennis', 'United_States', 'Nuclear_weapon']\"
Necktie,Lion,TRUE,3,"['Necktie', 'United_Kingdom', 'Lion']\"
Archbishop_of_Canterbury,Neil_Armstrong,TRUE,6,"['Archbishop_of_Canterbury', 'Christianity', 'Spain', 'List_of_countries_by_system_of_government', 'United_States', 'Neil_Armstrong']\"
Alpaca,Nuclear_fission,TRUE,6,"['Alpaca', 'England', 'Time_zone', 'United_States', 'Nuclear_power', 'Nuclear_fission']\"
God,Aztec,TRUE,4,"['God', 'United_States', 'Mexico', 'Aztec']\"
Brain,DVD,TRUE,6,"['Brain', 'Europe', 'France', 'United_States', 'Film', 'DVD']\"
James_Bond,Human_rights,TRUE,11,"['James_Bond', 'United_States', 'United_States_Bill_of_Rights', 'England', 'United_Kingdom', 'English_language', 'World_War_II', 'Europe', 'France', 'United_Nations', 'Human_rights']\"
Earless_seal,Citrus,FALSE,20,"['Earless_seal', 'Animal', 'Latin', 'United_States', 'Time_zone', 'Egypt', 'List_of_countries_by_system_of_government', 'Scotland', 'Middle_Ages', 'Europe', 'Arabic_language', 'English_language', 'United_Kingdom', 'France', 'Switzerland', 'Russia', 'Christianity', 'Spain', 'India']\"
California,Middle_East,TRUE,4,"['California', 'North_America', 'Asia', 'Middle_East']\"
Hydrogen,Gold,TRUE,3,"['Hydrogen', 'Metal', 'Gold']\"
Wasp,United_Arab_Emirates,TRUE,6,"['Wasp', 'Genetics', 'United_Kingdom', 'United_Nations', 'Saudi_Arabia', 'United_Arab_Emirates']\"
Canada,Pony,FALSE,20,"['Canada', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Arabic_language', 'English_language', 'United_Kingdom', 'Europe', 'England', 'Currency', '19th_century', 'Germany', 'Italy', 'Japan', 'Constitutional_monarchy', 'Spain', 'Islam', 'China']\"
