source,target,reached,length,visited\
Asteroid,Viking,TRUE,7,"['Asteroid', 'Earth', 'Norse_mythology', 'Thor', 'Germany', 'Iceland', 'Viking']\"
Brain,Telephone,TRUE,14,"['Brain', 'Europe', 'United_Kingdom', 'France', 'Internet', 'United_States', 'India', 'English_language', 'Germany', 'Latin', 'Italy', 'Currency', '19th_century', 'Telephone']\"
Theatre,Zebra,TRUE,8,"['Theatre', 'United_States', 'Time_zone', 'France', 'List_of_countries_by_system_of_government', 'United_Kingdom', 'Lion', 'Zebra']\"
Pyramid,Bean,TRUE,17,"['Pyramid', 'United_States', 'Time_zone', 'France', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'English_language', 'German_language', 'United_Kingdom', 'Latin', 'Europe', 'Arabic_language', 'Mauritania', 'Australia', 'Japan', 'Vegetable', 'Bean']\"
Batman,Wood,TRUE,12,"['Batman', 'Scotland', 'List_of_countries_by_system_of_government', 'United_States', 'Steel', 'Metal', 'Currency', '19th_century', 'Europe', 'Forest', 'Tree', 'Wood']\"
Bird,Great_white_shark,FALSE,20,"['Bird', 'Great_Auk', 'Ireland', 'Scotland', 'England', 'Christianity', 'Islam', 'India', 'List_of_countries_by_system_of_government', 'United_States', 'Great_Lakes', 'Atlantic_Ocean', 'Black_Sea', 'Ukraine', 'Netherlands', 'Agriculture', 'Mesopotamia', 'Iran', 'Judaism']\"
Batman,The_Holocaust,TRUE,4,"['Batman', 'Scotland', 'World_War_II', 'The_Holocaust']\"
Bird,Adolf_Hitler,TRUE,8,"['Bird', 'Latin', 'United_States', 'Abraham_Lincoln', 'United_Kingdom', 'World_War_I', 'Nazism', 'Adolf_Hitler']\"
Beer,Sun,TRUE,12,"['Beer', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Portuguese_language', 'India', 'Europe', 'Germany', 'Great_Britain', 'United_Kingdom', 'Earth', 'Sun']\"
Batman,Banana,TRUE,11,"['Batman', 'Scotland', 'United_States', 'Potato', 'Europe', 'United_Kingdom', 'List_of_countries_by_system_of_government', 'Japan', 'Cereal', 'Fruit', 'Banana']\"
Cat,Computer,TRUE,5,"['Cat', 'Animal', 'Latin', 'United_States', 'Computer']\"
Cat,Microsoft,TRUE,7,"['Cat', 'Animal', 'Latin', 'United_States', 'Computer', 'Microsoft_Windows', 'Microsoft']\"
Dog,Telephone,TRUE,12,"['Dog', 'English_language', 'Internet', 'United_States', 'United_Kingdom', 'Europe', 'France', 'Germany', 'India', 'Currency', '19th_century', 'Telephone']\"
Flower,Adolf_Hitler,TRUE,5,"['Flower', 'United_Kingdom', 'World_War_I', 'Nazism', 'Adolf_Hitler']\"
Automobile,Pluto,TRUE,6,"['Automobile', 'United_States', 'Moon', 'Mars', 'Planet', 'Pluto']\"
Dog,Venus,FALSE,20,"['Dog', 'Russia', 'List_of_countries_by_system_of_government', 'United_States', 'German_language', 'France', 'Latin', 'Europe', 'India', 'United_Kingdom', 'Canada', 'Chinese_language', '19th_century', 'England', 'Italy', 'Australia', 'Japan', 'China', 'Africa']\"
Batman,Bible,TRUE,4,"['Batman', 'Scotland', 'Religion', 'Bible']\"
Aluminium_chloride,Parrot,FALSE,20,"['Aluminium_chloride', 'Hydrochloric_acid', 'Hydrogen', 'Phase_%28matter%29', 'Plasma_%28physics%29', 'Earth', 'United_States', 'Guinea', 'List_of_countries_by_system_of_government', 'France', 'European_Union', 'United_Kingdom', 'Latin', 'English_language', 'England', 'Germany', 'India', 'Africa', 'Christianity']\"
England,God,TRUE,8,"['England', 'French_language', 'United_States', 'World_War_II', 'Europe', 'Arabic_language', 'Allah', 'God']\"
Achilles_tendon,Ocean,TRUE,5,"['Achilles_tendon', 'Latin', 'United_States', 'Atlantic_Ocean', 'Ocean']\"
